# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_1  O5      -1.42  -0.34  -0.14  -0.29  -0.76  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      10487.1      150.240
      10499.6      153.233
      10512.2      155.580
      10524.7      155.828
      10537.3      153.396
      10549.8      153.238
      10562.4      153.272
      10574.9      151.313
      10587.5      150.510
      10600.0      150.621
      10612.6      150.184
      10625.1      149.642
      10637.7      149.122
      10650.2      148.590
      10662.7      148.046
      10675.3      147.523
      10687.8      146.978
      10700.4      146.454
      10712.9      145.907
      10725.5      145.392
      10738.0      144.843
      10750.6      144.310
      10763.1      143.781
      10775.7      143.249
      10788.2      142.723
      10800.8      142.181
      10813.3      141.696
      10825.9      141.193
      10838.4      140.702
      10851.0      140.208
      10863.5      139.720
      10876.1      139.218
      10888.6      138.733
      10901.1      138.238
      10913.7      137.750
      10926.2      137.249
      10938.8      136.761
      10951.3      136.259
      10963.9      135.771
      10976.4      135.277
      10989.0      134.785
      11001.5      134.304
      11014.1      133.836
      11026.6      133.389
      11039.2      132.933
      11051.7      132.469
      11064.3      132.028
      11076.8      131.561
      11089.4      131.113
      11101.9      130.661
      11114.4      130.196
      11127.0      129.750
      11139.5      129.288
      11152.1      128.840
      11164.6      128.384
      11177.2      127.921
      11189.7      127.477
      11202.3      127.030
      11214.8      126.599
      11227.4      126.185
      11239.9      125.762
      11252.5      125.342
      11265.0      124.928
      11277.6      124.507
      11290.1      124.075
      11302.7      123.668
      11315.2      123.243
      11327.8      122.823
      11340.3      122.399
      11352.8      121.987
      11365.4      121.566
      11377.9      121.142
      11390.5      120.722
      11403.0      120.310
      11415.6      119.920
      11428.1      119.543
      11440.7      119.147
      11453.2      118.763
      11465.8      118.373
      11478.3      117.981
      11490.9      117.598
      11503.4      117.208
      11516.0      116.829
      11528.5      116.431
      11541.1      116.050
      11553.6      115.654
      11566.1      115.276
      11578.7      114.886
      11591.2      114.495
      11603.8      114.125
      11616.3      113.759
      11628.9      113.400
      11641.4      113.051
      11654.0      112.687
      11666.5      112.337
